대표지번,진행단계,위도,경도,cate_code
길동 332,조합설립인가,37.5398309,127.14661060476558,4
신당동 432-1008,조합설립인가,35.8477231,128.4864574,4
돈암동 48-29,조합설립인가,37.59742,127.01841,4
장위동 232-41,조합설립인가,37.6162,127.05086,4
압구정동 528,조합설립인가,37.5300432,127.0313346,4
신림동 1656-,조합설립인가,37.48682825,126.92826657522512,4
천호동 107-33,조합설립인가,37.54294,127.12733,4
면목동 86-19,조합설립인가,37.58178,127.09034,4
면목동 153-51,조합설립인가,37.58178,127.09034,4
오금동 147,조합설립인가,37.3484254,126.9293833882768,4
정릉동 895,조합설립인가,37.61654,126.99794,4
신수동 91-318,조합설립인가,37.54620345,126.9359375116903,4
공덕동 370-9,조합설립인가,37.54992705,126.95928971994924,4
상수동 334-11,조합설립인가,37.54743,126.92473,4
대림동 893-47,조합설립인가,37.4957573,126.899936,4
묵동 188-1,조합설립인가,37.61083,127.08109,4
오금동 35-1,조합설립인가,37.654355550000005,126.90066254943082,4
미아동 90-45,조합설립인가,37.628995,127.02575433718266,4
망원동 456-2,조합설립인가,37.55586,126.90087,4
망원동 459-1,조합설립인가,37.55586,126.90087,4
사당동 155-4,조합설립인가,37.4856963,126.9723525,4
개봉동 170-35,조합설립인가,37.4931629,126.851736,4
창신동 427-7,조합설립인가,37.57595,127.01313,4
개포동 658-1,조합설립인가,37.48421,127.07006,4
독산동 954,조합설립인가,37.468399,126.8979571,4
사당동 206-1,조합설립인가,37.4856963,126.9723525,4
면목동 139-52,조합설립인가,37.58178,127.09034,4
대조동 92-5,조합설립인가,37.61261,126.92278351858204,4
용두동 14-1,조합설립인가,37.57616,127.03476,4
용두동 26-3,조합설립인가,37.57616,127.03476,4
미아동 767-51,조합설립인가,37.628995,127.02575433718266,4
한남동 29-4,조합설립인가,37.53822,127.0074,4
정릉동 385-1,조합설립인가,37.61654,126.99794,4
천호동 397-419,조합설립인가,37.54294,127.12733,4
천호동 337-30,조합설립인가,37.54294,127.12733,4
홍제동 266-238,조합설립인가,37.5871,126.94676,4
면목동 1271,조합설립인가,37.58178,127.09034,4
면목동 99-41,조합설립인가,37.58178,127.09034,4
시흥동 983-13,조합설립인가,37.4507049,126.9085555,4
홍은동 11-360,조합설립인가,37.59296,126.93733,4
숭인동 61-103,조합설립인가,37.57648,127.01848,4
신월동 941,조합설립인가,37.52782,126.83692,4
신길동 442-2,조합설립인가,37.3335204,126.77378,4
등촌동 365,조합설립인가,37.55772775,126.84820955192036,4
화곡동 424-63,조합설립인가,37.54208,126.84656,4
화곡동 1133-7,조합설립인가,37.54208,126.84656,4
노량진동 84-24,조합설립인가,37.5110101,126.9414634,4
면목동 371-134,조합설립인가,37.58178,127.09034,4
면목동 152-1,조합설립인가,37.58178,127.09034,4
