대표지번,진행단계,cate_code,위도,경도
응암동 755,정비계획 수립,1,37.59418,126.92555
응암동 700,정비계획 수립,1,37.59418,126.92555
가산동 112-123,조합설립추진위원회승인,3,37.47532525,126.88639535805152
가산동 255-255,이전고시,7,,
불광동 329-13,정비계획 수립,1,37.6160647,126.9339579
명일동 270,조합설립인가,4,37.54841,127.15158
오금동 166,사업시행인가,5,37.348425399999996,126.92938338827679
서계동 116,조합설립인가,4,37.55234,126.96595
잠원동 55-10,사업시행인가,5,37.518254400000004,127.01240284968915
당산동2가 30-2,조합설립추진위원회승인,3,37.5224036,126.89391
가산동 12-32,정비계획 수립,1,37.47532525,126.88639535805152
교남동 28,정비구역지정,2,37.5707991,126.9608805
송파동 161,조합설립인가,4,37.50479,127.11369
장위동 65-107,조합설립인가,4,37.6162,127.05086
번동 427-63,사업시행인가,5,37.62929,127.03684
번동 429-97,사업시행인가,5,37.62929,127.03684
신길동 4518,사업시행인가,5,37.3335204,126.77378
신길동 340-1,조합설립인가,4,37.3335204,126.77378
방이동 225,사업시행인가,5,37.5141564,127.1195472
신림동 746-43,조합설립인가,4,37.4730961,126.9282982
신길동 39-3,조합설립인가,4,37.3335204,126.77378
홍은동 355,사업시행인가,5,37.59296,126.93733
개봉동 454-14,조합설립인가,4,37.4931629,126.851736
압구정동 369-1,조합설립인가,4,37.5300432,127.0313346
오류동 68-21,조합설립인가,4,36.3253384,127.4050329
이촌동 300-301,사업시행인가,5,37.52086,126.96612
신길동 420-92,조합설립인가,4,37.3335204,126.77378
번동 413-44,조합설립인가,4,37.62929,127.03684
목동 232,정비계획 수립,1,37.550246200000004,126.86429110559628
가리봉동 115,정비계획 수립,1,37.4838745,126.8889756
중화동 195-2,조합설립인가,4,37.59755,127.07783
서초동 1334-,관리처분인가,6,37.48818,127.01751
시흥동 1004,조합설립인가,4,37.4507049,126.9085555
한강로3가 40-19,조합설립인가,4,37.52754,126.96297
공항동 21,조합설립인가,4,37.55387305,126.8180754118984
공항동 14,조합설립인가,4,37.55503335,126.81955621093223
공항동 61-42,조합설립인가,4,37.5556799,126.79312568532687
궁동 240,조합설립인가,4,37.5006694,126.8280726
문래동3가 16-32,사업시행인가,5,37.51702,126.89591
흑석동 90,관리처분인가,6,37.5064393,126.963687
중화동 317-45,조합설립인가,4,37.59755,127.07783
중화동 329-30,조합설립인가,4,37.59755,127.07783
하월곡동 70-4,조합설립인가,4,37.60444,127.03764
장안동 95-1,사업시행인가,5,37.57105,127.06806
홍은동 326-2,조합설립인가,4,37.59296,126.93733
잠원동 65-32,조합설립인가,4,37.518254400000004,127.01240284968915
한강로3가 40-641,조합설립인가,4,37.52754,126.96297
개포동 185,사업시행인가,5,37.48421,127.07006
자양동 658-14,이전고시,7,36.3366812,127.4490374
가락동 176,사업시행인가,5,35.190215,128.8920173
면목동 106-5,조합설립인가,4,37.58178,127.09034
가락동 199,사업시행인가,5,35.190215,128.8920173
압구정동 481,조합설립인가,4,37.5300432,127.0313346
송파동 166,사업시행인가,5,37.50479,127.11369
상일동 152,조합해산,13,37.55073,127.1704
서빙고동 241-21,조합설립인가,4,37.51769075,126.99123969122317
천호동 39-4,조합해산,13,37.54294,127.12733
망원동 438-46,조합해산,13,37.55586,126.90087
흑석동 304,관리처분인가,6,37.502463649999996,126.96087578592851
망원동 472-1,조합해산,13,37.55586,126.90087
서초동 1611-1,조합설립인가,4,37.48818,127.01751
잠원동 60-3,일반분양승인,10,37.518254400000004,127.01240284968915
대치동 977-,이전고시,7,37.49882,127.06566
장안동 326-,조합설립인가,4,37.57105,127.06806
잠원동 70-,조합설립인가,4,37.51531,127.0176996
대치동 964-,착공신고,9,37.49882,127.06566
동작동 102-,착공신고,9,37.5028911,126.9775288
잠원동 74-1,조합해산,13,37.518254400000004,127.01240284968915
천호동 107-33,조합설립인가,4,37.54294,127.12733
양재동 18-12,조합설립추진위원회승인,3,37.46838,127.0361
마천동 323-,관리처분인가,6,37.49803,127.15167
미아동 3-111,조합해산,13,37.628995,127.02575433718266
시흥동 810,정비구역지정,2,37.4507049,126.9085555
고척동 241-2,조합설립인가,4,37.5034631,126.8585846
개봉동 199-4,조합설립인가,4,37.4931629,126.851736
신림동 412,정비계획 수립,1,37.48682825,126.92826657522511
한강로1가 231-30,정비계획 수립,1,37.53517,126.97404
한강로3가 40-881,정비계획 수립,1,37.52754,126.96297
효창동 5-307,정비계획 수립,1,37.54341,126.96037
반포동 60-4,정비구역지정,2,37.50312,127.0014
홍제동 298-9,정비계획 수립,1,37.5871,126.94676
전농동 103-236,조합설립인가,4,37.5823142,127.0483446
중화동 296-44,관리처분인가,6,37.59755,127.07783
천호동 423-76,일반분양승인,10,37.54294,127.12733
당산동5가 7-2,조합설립인가,4,37.53208,126.90102
구산동 307-1,조합해산,13,37.61228115,126.90826582986259
