대표지번,진행단계,위도,경도
오금동 67-7,조합설립인가,37.348425399999996,126.92938338827679
거여동 294,조합설립인가,37.48921,127.14667
오류동 150-42,조합설립인가,36.3253384,127.4050329
압구정동 434,조합설립인가,37.5300432,127.0313346
충정로3가 250-,조합설립인가,37.5618374,126.9616577
잠실동 101-1,조합설립인가,37.5122807,127.0855986
장위동 68-833,조합설립인가,37.6162,127.05086
사당동 217-15,조합설립인가,37.4856963,126.9723525
장위동 219-133,조합설립인가,37.6162,127.05086
신림동 1480-1,조합설립인가,37.4730961,126.9282982
봉천동 728-57,조합설립인가,37.484665,126.9484961
미아동 403,조합설립인가,37.628995,127.02575433718266
잠실동 27,조합설립인가,37.5122807,127.0855986
망우동 178-1,조합설립인가,37.60178,127.1054
성수동2가 219-4,조합설립인가,37.54048,127.05601
면목동 174-74,조합설립인가,37.58178,127.09034
성수동2가 506,조합설립인가,37.54048,127.05601
서초동 1315,조합설립인가,37.48818,127.01751
종암동 81-188,조합설립인가,37.59631,127.03333
청파동2가 11-1,조합설립인가,37.54655,126.96675
양평동1가 20,조합설립인가,37.5247393,126.8836443
불광동 19-3,조합설립인가,37.6160647,126.9339579
성수동2가 572-7,조합설립인가,37.54048,127.05601
성수동1가 72-10,조합설립인가,37.5435,127.03742
답십리동 952,조합설립인가,37.57002,127.05467
가산동 555-55,조합설립인가,37.47532525,126.88639535805152
신길동 190,조합설립인가,37.3335204,126.77378
한강로1가 158-,조합설립인가,37.5329856,126.9719188
길동 332,조합설립인가,37.5398309,127.14661060476558
신당동 432-1008,조합설립인가,35.8477231,128.4864574
돈암동 48-29,조합설립인가,37.59742,127.01841
장위동 232-41,조합설립인가,37.6162,127.05086
압구정동 528,조합설립인가,37.5300432,127.0313346
신림동 1656-,조합설립인가,37.48682825,126.92826657522511
천호동 107-33,조합설립인가,37.54294,127.12733
면목동 86-19,조합설립인가,37.58178,127.09034
면목동 153-51,조합설립인가,37.58178,127.09034
오금동 147,조합설립인가,37.348425399999996,126.92938338827679
정릉동 895,조합설립인가,37.61654,126.99794
여의도동 52,조합설립인가,,
신수동 91-318,조합설립인가,37.54620345,126.9359375116903
공덕동 370-9,조합설립인가,37.549927049999994,126.95928971994923
상수동 334-11,조합설립인가,37.54743,126.92473
대림동 893-47,조합설립인가,37.4957573,126.899936
묵동 188-1,조합설립인가,37.61083,127.08109
오금동 35-1,조합설립인가,37.654355550000005,126.90066254943082
미아동 90-45,조합설립인가,37.628995,127.02575433718266
망원동 456-2,조합설립인가,37.55586,126.90087
망원동 459-1,조합설립인가,37.55586,126.90087
사당동 155-4,조합설립인가,37.4856963,126.9723525
개봉동 170-35,조합설립인가,37.4931629,126.851736
창신동 427-7,조합설립인가,37.57595,127.01313
개포동 658-1,조합설립인가,37.48421,127.07006
독산동 954,조합설립인가,37.468399,126.8979571
사당동 206-1,조합설립인가,37.4856963,126.9723525
면목동 139-52,조합설립인가,37.58178,127.09034
대조동 92-5,조합설립인가,37.612610000000004,126.92278351858204
용두동 14-1,조합설립인가,37.57616,127.03476
용두동 26-3,조합설립인가,37.57616,127.03476
미아동 767-51,조합설립인가,37.628995,127.02575433718266
한남동 29-4,조합설립인가,37.53822,127.0074
정릉동 385-1,조합설립인가,37.61654,126.99794
천호동 397-419,조합설립인가,37.54294,127.12733
천호동 337-30,조합설립인가,37.54294,127.12733
홍제동 266-238,조합설립인가,37.5871,126.94676
면목동 1271,조합설립인가,37.58178,127.09034
면목동 99-41,조합설립인가,37.58178,127.09034
시흥동 983-13,조합설립인가,37.4507049,126.9085555
홍은동 11-360,조합설립인가,37.59296,126.93733
숭인동 61-103,조합설립인가,37.57648,127.01848
신월동 941,조합설립인가,37.52782,126.83692
신길동 442-2,조합설립인가,37.3335204,126.77378
등촌동 365,조합설립인가,37.55772775,126.84820955192035
화곡동 424-63,조합설립인가,37.54208,126.84656
화곡동 1133-7,조합설립인가,37.54208,126.84656
노량진동 84-24,조합설립인가,37.5110101,126.9414634
면목동 371-134,조합설립인가,37.58178,127.09034
면목동 152-1,조합설립인가,37.58178,127.09034
장위동 68-435,조합설립인가,37.6162,127.05086
미아동 833-2,조합설립인가,37.628995,127.02575433718266
상도동 363-117,조합설립인가,36.01528,129.35519
상도동 159-52,조합설립인가,37.4988159,126.9441045
서초동 1478-12,조합설립인가,37.4775521,126.9837273
상계동 322-8,조합설립인가,37.66727,127.07242
대림동 786,조합설립인가,35.86723,128.74766
시흥동 919,조합설립인가,37.4507049,126.9085555
사당동 220-70,조합설립인가,37.4856963,126.9723525
여의도동 50,조합설립인가,,
천호동 221,조합설립인가,37.54294,127.12733
명일동 15,조합설립인가,37.54841,127.15158
성산동 165-72,조합설립인가,35.20092,128.67494
갈월동 92,조합설립인가,37.54487,126.9715441
장위동 238-83,조합설립인가,37.6162,127.05086
고척동 52-332,조합설립인가,37.5034631,126.8585846
창동 466,조합설립인가,37.64643,127.04326
창동 581-3,조합설립인가,37.64643,127.04326
방학동 343,조합설립인가,37.66442,127.03333
도봉동 625-80,조합설립인가,37.6826056,127.0425405
보광동 360,조합설립인가,37.5267109,127.00021654781031
고척동 241-337,조합설립인가,37.5034631,126.8585846
석촌동 287,조합설립인가,37.5024827,127.103495
면목동 63-28,조합설립인가,37.58178,127.09034
망원동 454-3,조합설립인가,37.55586,126.90087
상도동 210-110,조합설립인가,37.4988159,126.9441045
개봉동 298-33,조합설립인가,37.4931629,126.851736
봉천동 1535-37,조합설립인가,37.484665,126.9484961
천호동 145-66,조합설립인가,37.54294,127.12733
신길동 325-57,조합설립인가,37.3335204,126.77378
광장동 561,조합설립인가,37.54711,127.10414
방화동 286-1,조합설립인가,37.57682,126.81422
시흥동 817,조합설립인가,37.4507049,126.9085555
상도동 182-13,조합설립인가,37.4988159,126.9441045
중화동 122,조합설립인가,37.59755,127.07783
사당동 156-3,조합설립인가,37.4856963,126.9723525
봉천동 690,조합설립인가,37.484665,126.9484961
봉천동 26,조합설립인가,37.484665,126.9484961
황학동 2085,조합설립인가,37.5675499,127.02172
황학동 1010,조합설립인가,37.5675499,127.02172
사당동 161-55,조합설립인가,37.4856963,126.9723525
사당동 192-1,조합설립인가,37.4856963,126.9723525
면목동 109-2,조합설립인가,37.58178,127.09034
황학동 310,조합설립인가,37.5675499,127.02172
여의도동 51,조합설립인가,,
장위동 232-125,조합설립인가,37.6162,127.05086
신공덕동 6-3,조합설립인가,37.5447,126.95606
자양동 588-22,조합설립인가,36.3366812,127.4490374
대방동 391-63,조합설립인가,37.5067997,126.92913492678356
번동 458-31,조합설립인가,37.62929,127.03684
문정동 3,조합설립인가,37.490985,127.1197504
신림동 655-78,조합설립인가,37.48682825,126.92826657522511
방이동 217,조합설립인가,37.5141564,127.1195472
시흥동 933,조합설립인가,37.4507049,126.9085555
흑석동 43-7,조합설립인가,37.5064393,126.963687
송파동 100,조합설립인가,37.50479,127.11369
오금동 36-1,조합설립인가,37.348425399999996,126.92938338827679
중화동 327-49,조합설립인가,37.59755,127.07783
가락동 140,조합설립인가,35.190215,128.8920173
상봉동 304-4,조합설립인가,35.203496599999994,128.07191852499722
영등포동4가 431-6,조합설립인가,37.51777,126.90368
신당동 236-100,조합설립인가,37.565196900000004,127.01321999381744
석관동 332-179,조합설립인가,,
신대방동 360-72,조합설립인가,37.4955756,126.9195788
번동 458-2,조합설립인가,37.62929,127.03684
천호동 166-4,조합설립인가,37.54294,127.12733
송파동 151-,조합설립인가,37.50479,127.11369
정릉동 452-3,조합설립인가,37.61654,126.99794
돈암동 624,조합설립인가,37.59742,127.01841
자양동 249-2,조합설립인가,36.3366812,127.4490374
석관동 332-113,조합설립인가,37.60789,127.06116
방배동 562-1,조합설립인가,37.4798789,126.9939103
거여동 549,조합설립인가,37.48921,127.14667
면목동 154-31,조합설립인가,37.58178,127.09034
번동 443-46,조합설립인가,37.62929,127.03684
염창동 253-1,조합설립인가,37.55534725,126.87252829335478
마장동 784,조합설립인가,37.56743,127.04045
전농동 60,조합설립인가,37.5806,127.05543
흑석동 99-3,조합설립인가,37.5064393,126.963687
상도동 194-27,조합설립인가,37.4988159,126.9441045
중화동 329-38,조합설립인가,37.59755,127.07783
번동 471-118,조합설립인가,37.62929,127.03684
화양동 32-12,조합설립인가,37.54408,127.06895
대방동 11-103,조합설립인가,37.5067997,126.92913492678356
도화동 536,조합설립인가,37.5386394,126.94924282127039
염창동 255,조합설립인가,37.55534725,126.87252829335478
석관동 334-69,조합설립인가,37.60789015,127.06148520004993
미아동 61-79,조합설립인가,37.628995,127.02575433718266
여의도동 21-2,조합설립인가,,
여의도동 38-1,조합설립인가,,
신길동 1367-1,조합설립인가,37.3335204,126.77378
장위동 85,조합설립인가,37.6162,127.05086
종암동 112-37,조합설립인가,37.59631,127.03333
마천동 194-1,조합설립인가,35.1267919,128.7835554
잠원동 54,조합설립인가,37.518254400000004,127.01240284968915
