진행단계,정비구역명칭,정비구역면적(㎡),사업구분,재건축단계,서울시_정비구역위치,Latitude,Longitude,cate_code
조합설립인가,공덕 제6주택재개발정비구역,11301.4,재개발(주택정비형),조합 설립 전,서울시 마포구 공덕동 119번지,37.5481087,126.9559528,4
조합설립인가,고척6구역 가로부택정비사업,7965.0,가로주택정비,조합 설립 전,서울시 구로구 고척동 241-63,37.5058067,126.8490351,4
조합설립인가,신이문역세권 장기전세주택 도시정비형 재개발사업,39717.8,재개발(도시정비형),조합 설립 전,서울시 동대문구 이문동 168-1,37.6016021,127.0668335,4
조합설립인가,(가칭)영등포대림 지역주택조합,19750.5,지역주택,조합 설립 전,서울시 영등포구 대림동 700-1,37.4947976,126.9004203,4
조합설립인가,신반포20차아파트 주택재건축정비사업,9593.6,재건축,조합 설립 전,서울시 서초구 잠원동 60-78,37.5101412,127.0117299,4
조합설립인가,압구정아파트지구 특별계획구역5  재건축정비사업,789.87,재건축,조합 설립 전,서울시 강남구 압구정동 490-0,37.5303141,127.0388012,4
조합설립인가,신길음1구역 재개발정비사업,8390.0,재개발(도시정비형),조합 설립 전,서울시 길음동 31-1번지 일대,37.6119517,127.0299239,4
조합설립인가,신반포19차 25차(아) 재건축정비사업,26937.2,재건축,조합 설립 전,서울시 서초구 잠원동 61-2,37.5142166,127.010171,4
조합설립인가,중화우성타운 재건축정비사업,10388.0,재건축,조합 설립 전,서울시 중랑구 중화동 195-2,37.5979758,127.0812772,4
조합설립인가,신림동 미성아파트 주택재건축 정비구역,16706.1,재건축,조합 설립 전,서울시 관악구 신림동 1656번지,37.4825098,126.903436,4
조합설립인가,양평동 신동아아파트 주택재건축 정비사업,20619.0,재건축,조합 설립 전,서울시 영등포구 양평동1가 20번지,37.5221502,126.8865401,4
조합설립인가,수색1재정비촉진구역 도시환경정비사업조합,4424.0,재개발(도시정비형),조합 설립 전,서울시 은평구 수색동 311-9번지,37.5862554,126.8888623,4
조합설립인가,신성빌라 주택재건축정비사업 조합설립 추진위원회,4882.0,재건축,조합 설립 전,서울시 서초구 방배동 593-98,37.4744945,126.9937383,4
정비구역지정,영등포1-23 재정비촉진구역,11010.1,재개발(도시정비형),조합 설립 전,서울시 영등포동2가 213,37.5198988,126.9103336,2
정비구역지정,영등포1-25 재정비촉진구역,3451.4,재개발(도시정비형),조합 설립 전,서울시 영등포동2가 159,37.518906,126.9110963,2
조합설립추진위원회승인,가산1구역 주택재건축정비사업조합설립추진위원회,18744.81,재건축,조합 설립 전,서울시 금천구 가산동 146번지 일대,37.4781752,126.894549,3
조합설립추진위원회승인,독산4.5구역 단독주택재건축정비구역,31963.0,재건축,조합 설립 전,서울시 금천구 독산동 147-1 일대,37.4752116,126.8960685,3
정비구역지정,영등포1-5 재정비촉진구역,2805.2,재개발(도시정비형),조합 설립 전,서울시 영등포동5가 46-4,37.5223754,126.9055092,2
정비구역지정,영등포1-6 재정비촉진구역,2272.0,재개발(도시정비형),조합 설립 전,서울시 영등포동5가 64,37.5222127,126.9060088,2
정비구역지정,영등포1-7 재정비촉진구역,3596.6,재개발(도시정비형),조합 설립 전,서울시 영등포동5가 49-1,37.5222116,126.9067114,2
정비구역지정,영등포1-16 재정비촉진구역,5395.1,재개발(도시정비형),조합 설립 전,서울시 영등포동5가 34-46,37.5202389,126.9077864,2
정비구역지정,영등포1-17 재정비촉진구역,1759.1,재개발(도시정비형),조합 설립 전,서울시 영등포동2가 34-75,37.5201844,126.9083847,2
정비구역지정,영등포1-20 재정비촉진구역,9620.6,재개발(도시정비형),조합 설립 전,서울시 영등포동2가 256,37.5209124,126.9094503,2
정비구역지정,영등포1-22 재정비촉진구역,4614.7,재개발(도시정비형),조합 설립 전,서울시 영등포동2가 328-11,37.5194952,126.9090867,2
조합설립추진위원회승인,신반포25차아파트 일대 주택재건축정비사업조합설립추진위원회(예정),13619.9,재건축,조합 설립 전,서울시 서초구 잠원동 61-1,37.5148499,127.0093399,3
조합설립추진위원회승인,송파동 100번지 주택재건축 정비사업,24924.7,재건축,조합 설립 전,서울시 송파구 송파동 100번지,37.503508,127.1155938,3
정비구역지정,영등포1-8 재정비촉진구역,314.65,재개발(도시정비형),조합 설립 전,서울시 영등포동5가 38-3,37.5219712,126.9055855,2
정비구역지정,영등포1-10 재정비촉진구역,4021.1,재개발(도시정비형),조합 설립 전,서울시 영등포동5가 100,37.5216634,126.9068999,2
정비구역지정,영등포1-21 재정비촉진구역,11263.5,재개발(도시정비형),조합 설립 전,서울시 영등포동2가 229,37.5208284,126.9102585,2
정비구역지정,영등포1-9 재정비촉진구역,2184.6,재개발(도시정비형),조합 설립 전,서울시 영등포동5가 81-1,37.5219594,126.9060221,2
정비구역지정,영등포1-18 재정비촉진구역,4904.8,재개발(도시정비형),조합 설립 전,서울시 영등포동5가 6,37.5197347,126.9074347,2
조합설립인가,원효로풍전아파트소규모재건축정비사업조합,5171.0,소규모재건축,조합 설립 전,서울시 용산구 원효로4가 109-4,37.5327007,126.9541669,4
조합설립인가,정릉동 545-12번지 일대 가로주택정비사업,3437.0,가로주택정비,조합 설립 전,서울시 성북구 정릉동 545-12,37.6010187,127.0112405,4
조합설립인가,영등포1의2재정비촉진구역 도시환경정비사업,5392.0,재개발(도시정비형),조합 설립 전,서울시 영등포구 영등포동7가 76-5번지,37.5244922,126.9056452,4
정비구역지정,영등포1-24 재정비촉진구역,5264.8,재개발(도시정비형),조합 설립 전,서울시 영등포동2가 170,37.519282,126.9101932,2
조합설립추진위원회승인,미성아파트 주택재건축정비사업,40882.0,재건축,조합 설립 전,서울시 여의도동 37,37.5204817,126.9239722,3
정비구역지정,영등포1-19 재정비촉진구역,1944.8,재개발(도시정비형),조합 설립 전,서울시 영등포동2가 333,37.5195795,126.908263,2
조합설립추진위원회승인,중화동131-35일대 재건축정비구역,17971.0,재건축,조합 설립 전,서울시 중랑구 중화동 131-35,37.6008186,127.0857615,3
조합설립추진위원회승인,내자.필운구역 도시환경정비사업,20877.0,재개발(도시정비형),조합 설립 전,서울시 종로구 내자동 81번지,37.5752369,126.9714009,3
조합설립추진위원회승인,마포로 5-10구역 도시환경정비사업,8646.3,재개발(도시정비형),조합 설립 전,서울시 중구 중림동 186-1번지,37.5591336,126.9648443,3
조합설립추진위원회승인,강북3 도시환경정비구역,23995.0,재개발(도시정비형),조합 설립 전,서울시 강북구 미아동 45-32번지,37.6111032,127.0322135,3
조합설립추진위원회승인,수유1-1구역주택재건축 조합설립추진위원회,70000.0,재건축,조합 설립 전,서울시 강북구 수유동472-81번지일대,37.6322579,127.0174607,3
정비계획 수립,시흥동 남서울 럭키아파트 재건축 예정구역,51940.0,재건축,조합 설립 전,서울시 금천구 시흥동 1002-2,37.4480541,126.8989858,1
조합설립인가,대성연립주택재건축정비사업조합,903.0,재건축,조합 설립 전,서울시 강남구 논현동 191-4,37.5085944,127.0326174,4
조합설립추진위원회승인,중화동 324번지 일대주택재건축사업,17834.7,재건축,조합 설립 전,서울시 중랑구 중화동 324-0,37.5946021,127.0717745,3
조합설립추진위원회승인,강북5구역 도시환경정비사업,128.7,재개발(도시정비형),조합 설립 전,서울시 강북구 미아동 61-79,37.614445,127.0294675,3
조합설립추진위원회승인,반포경남아파트구역,62495.6,재건축,조합 설립 전,서울시 서초구 반포2동 1-8번지 외 3필지,37.5046056,126.9952655,3
조합설립추진위원회승인,봉천6-1구역 주택재건축정비사업,16000.0,재건축,조합 설립 전,서울시 관악구 봉천6동 63-39번지일대,37.4810602,126.9608566,3
조합설립추진위원회승인,신수 2구역 주택재건축 추진위원회,17264.5,재건축,조합 설립 전,서울시 마포구 신수동255-7번지,37.5454267,126.936505,3
조합설립인가,미아균형발전촉진지구 강북2구역 도시환경정비구역,18958.0,재개발(도시정비형),조합 설립 전,서울시 강북구 미아동 42-8번지,37.6105928,127.0308179,4
조합설립추진위원회승인,시범아파트,98843.0,재건축,조합 설립 전,서울시 영등포구 여의도동 50번지,37.520693,126.9371057,3
조합설립추진위원회승인,신월1구역,92546.13,재개발(주택정비형),조합 설립 전,서울시 양천구 신월동 159-192,37.5347269,126.8275169,3
조합설립추진위원회승인,용두제7 도시환경정비사업구역,2933.2,재개발(도시정비형),조합 설립 전,서울시 동대문구 용두동 53-6번지,37.5769622,127.0368459,3
조합설립인가,한양철우아파트 주택재건축정비사업조합,3585.4,재건축,조합 설립 전,서울시 용산구 한강로 3가 65-500번지,37.5235493,126.9691134,4
조합설립추진위원회승인,성수동 장미아파트 주택재건축 정비사업,11084.0,재건축,조합 설립 전,서울시 성동구 성수1가동 656-421번지 장미아파트,37.5430389,127.0460747,3
조합설립인가,경남1차주택재건축정비사업,3353.6,재건축,조합 설립 전,서울시 강서구 내발산동 716-20,37.5495681,126.8337443,4
조합설립추진위원회승인,용두제6 도시환경정비사업구역,1873.2,재개발(도시정비형),조합 설립 전,서울시 동대문구 용두동 53-1번지,37.5770534,127.0372573,3
조합설립추진위원회승인,면목제15구역 주택재건축정비사업조합설립추진위원회,12000.0,재건축,조합 설립 전,서울시 중랑구 면목동 172-1 일대,37.5847066,127.079527,3
조합설립추진위원회승인,상봉6재정비촉진구역,98342.1,재개발(도시정비형),조합 설립 전,서울시 중랑구 상봉2동 107-1번지,37.5941117,127.0868784,3
정비구역지정,돈의문 2구역 도시환경정비구역,6801.4,재개발(도시정비형),조합 설립 전,서울시 종로구 교남동 28번지,37.567949,126.9650443,2
조합설립추진위원회승인,신월2구역 주택재건축정비사업 조합설립추진위원회,15000.0,재건축,조합 설립 전,서울시 양천구 신월2동 487-4외 31필지,37.5240495,126.8435164,3
정비구역지정,영등포1-15 재정비촉진구역,1785.4,재개발(도시정비형),조합 설립 전,서울시 영등포동2가 34-4,37.5206548,126.9085213,2
